Artillery Company of Newport,"23 Clark Street
Texas City Museum,"409 6th Street North
Texas City, TX 77590
", 409-229-1660, 409-229-1636, tcmuseum@prodigy.net, www.texas-city-tx.org/,"Children's,General,History,","Linda Turner, Curator",e-mail: lturner@texas-city-tx.org,,
Texas Confederate Museum,"760 Jim Wright Freeway North
Fort Worth, TX 76108
", 281-351-5896, 713-680-5552, questions@texascivilwarmuseum.com, www.texascivilwarmuseum.com/,"History,Specialized,",,
Texas Cowboy Hall of Fame,"128 E. Exchange, Barn A
Fort Worth, TX 76106
", 817-626-7131, 817-626-7171, info@texascowboyhalloffame.org, www.texascowboyhalloffame.com,"00 adults, $4.00 seniors, $3.00 children under 12","Jaime Peace, Executive Director",phone: 817-626-7131,,
"Texas Czech Heritage and Cultural Center, Inc.","250 West Fairgrounds Road
La Grange, TX 78945
", 979-968-9399, 979-968-9249, info@czechtexas.org, www.czechtexas.org/,,"Retta Slavik Chandler, President",,,
Texas Discovery Gardens,"3601 Martin Luther King Blvd.
Dallas, TX 75210
", 214-428-7476 x341, 214-428-5338, TDG@TexasDiscoveryGardens.org, texasdiscoverygardens.org,"Arboretum,Botanical Garden,Children's,Culture,Historic House,Science,","Jane Bryant, Executive Director",e-mail: JBryant@texasdiscoverygardens.org,"Sarah Gardner, PR/Marketing Manager",e-mail: contact@TexasDiscoveryGardens.org,"Carron Short, Event Venue Coordinator ",e-mail: rental@texasdiscoverygardens.org,,
Texas Discovery Gardens,"3601 MLK in Fair Park
Dallas, TX 75210
", 214-428-7476,, TDG@TexasDiscoveryGardens.org, www.texasdiscoverygardens.org,,"Jane Bryant, Executive Director",e-mail: JBryant@texasdiscoverygardens.org,"Carron Short, Event Venue Coordinator ",e-mail: rental@texasdiscoverygardens.org,"Marisa Hettinger, Program and Volunteer Manager ",e-mail: volunteers@texasdiscoverygardens.org,,
Texas Energy Museum,"600 Main Street
Beaumont, TX 77701
", 409-833-5100, 409-833-4282, info@texasenergymuseum.org, www.texasenergymuseum.org/where2.asp,"History,Nature Centers,Science,Specialized,","D. Ryan Smith, Executive Director",,"John Legget, Museum Technician",,"Christy Gladden, Administrative Assistant",,,
Texas Fine Arts Association,"3809-B West 35th Street
Austin, TX 78703
",,,, www.arthousetexas.org,"Art,",Polly Young,phone: 512-453-5312,e-mail: txfinearts@aol.com,,
Texas Fire Museum,"2600 Chalk Hill Road
Dallas, TX 75212
", 214-267-1867,, firemuseumdocent@aol.com,,"Specialized,","Scott Simpson, President",,,
Texas Firearms Museum and Education Foundation,"2903 Asbury Street
Brownwood, TX 76801
",,,,,"History,Specialized,","DaLin Morrow, Administrative Assistant",phone: 325-646-3717,,
Texas Folklife Resources,"1317 S. Congress Ave.
Austin, TX 78704
", 512-441-9255, 512-441-9222,, www.texasfolklife.org,"History,",,
Texas Forest Trail Region,"200 E. Main
Nacogdoches, TX 75961
", 936-568-0188, 936-462-7688, txforesttrail@yahoo.com, www.txforesttrailregion.org,"History,",,
Texas Forestry Museum,"1905 Atkinson Dr
Lufkin, TX 75901
", 936-632-9535, 936-632-9543, info@treetexas.com, www.treetexas.com,"History,Historic House,Natural History,Nature Centers,Science,,Services,Gift ShopOnline Gift Shop,Special Event RentalGroup Tours,","Mary Alice Cook, Director",phone: 936-633-6249,e-mail: mcook@treetexas.com,"Laurie Vaughn, Museum Coordinator ",,"David Young, Education Coordinator",,,
Texas Governor's Mansion,"1010 Colorado
Austin, TX 78701
", 512-463-5518, 512-463-5516, admin@txfgm.org, www.txfgm.org,"Historic House,",,
Texas Heritage Museum,"Hill College Campus
Hill College
Hillsboro, TX 76645
", 254-582-2555x295, 254-582-7591, museum@hillcollege.edu, www.hillcollege.edu/museum/museum.html,"History,","Rosa Flores, Front Desk Clerk",phone: 254-582-2555x295,"Dr. B.D. Patterson, Dean",phone: 254-582-2555 x256,"Mrs. Peggy Fox, Research Center Director",phone: 254-582-2555 x242,"Dr. Odie Faulk, Hill College Press Director",phone: 254-582-2555 x374,"Dr. T. Lindsay Baker, Museum Director",phone: 254-582-2555 x391,"Mrs. Sandra Rich, Administrative Assistant",phone: 254-582-2555 x258,"Jason S. Schubert, Curatorial Assistant",phone: 254-582-2555,,
Texas Heritage Museum,"Hillsboro, TX 76645
", 254-582-2555 x258, 254-582-7591,,,,,
Texas Historical Commission,"1511 N. Colorado
Austin, TX 78701
", 512-463-6100, 512-475-4872, thc@thc.state.tx.us, www.thc.state.tx.us,"Archaeology,Botanical Garden,Cemetery,Church,Culture,General,History,Historic House,Library,Military,Natural History,Nature Centers,Park,Science,Specialized,University,",Kit Neumann,,"Larry Oaks, Executive Director",phone: 512-463-6100,"Marlene Casarez, Administrative Assistant",,"Stan Graves, Division of Architecture",phone: 512-463-6094,"Jim Bruseth, Archeology Division",phone: 512-463-6096,"Frances Rickard, History Programs Division",phone: 512-463-5853,"Terry Colley, Deputy Director",phone: 512-463-6100,"Mary Alice Torres MacDonald, Community Heritage Development",phone: 512-463-6092,,
Texas Historical Foundation,"221 East Ninth Street
Suite 205
Austin, TX 78701
", 512-453-2154, 512-499-3944, admin@texashistoricalfoundation.org, www.texashistoricalfoundation.org/,,"Tom C. Doell, President",,"Gene Krane, Executive Director",,,
Texas History Museum,"202 S. Market
Jefferson, TX 75657
", 903-665-2775, 903-665-6135,,,"History,Library,","Dr. W. Phil Hewitt, Executive Director",phone: 903-665-1101,"Roseanne Bumgarner, Administrative Assistant",phone: 903-665-1101,,
Texas Maritime Museum,"1202 Navigation Circle
Rockport, TX 78382
", 361-729-1271, 361-729-9938, curator@texasmaritimemuseum.org, www.texasmaritimemuseum.org,"History,Specialized,","Elaine Faulkner, Administrative Assistant",,"Kathy Roberts-Douglass, Director",,"Phil Barnes, Curator",,"Jennifer Rogers, Education Director",,,
Texas Medical Association,"401 West 15th Street
Austin, TX 78701
", 512-370-1552, 512-370-1634,,,"Library,Specialized,","Patty Mullins, Special Collections Coordinator",phone: 512-370-1552 x1552,"Nancy Reynolds, Library Director",phone: 512-370-1552 x1540,"Lorie Cox, Assistant Library Director",phone: 512-370-1552 x1541,,
Texas Memorial Museum of Science and History,"University of Texas at Austin                 2400 Trinity
Austin, TX 78705
", 512-232-5654, 512-471-4794, sromberg@mail.utexas.edu, www.tmm.utexas.edu,"History,Science,University,","Dr. Ed Theriot, Director",phone: 512-471-1604,"Margaret Fischer, Director of Museum Operations",phone: 512-471-1604,"R. Brent Lyles, Director of Public Programs",phone: 512-471-1604,"David Cannatella, Curator of Herpetology",phone: 512-232-4862,"Dean Hendrickson, Curator of Ichthyology",phone: 512-471-9774,,
Texas Military Forces Museum,"2200 W. 35th
Austin, TX 78703
", 512-782-5659, 512-706-6750, museum@AGD.state.tx.us,,"History,Library,Specialized,","John C.L. Schribner, Museum Director",phone: 512-465-5659,"Carl J. Deichmann, Exhibit Specialist",phone: 512-406-6916,,
Texas Music Museum,"1009 E. 11th Street
Austin, TX 78702
", 512-472-8891, 512-471-9600,, www.texasmusicmuseum.org/,"Art,Culture,General,History,Specialized,","Rudy Martinez, Vice President",,,
Texas Parks & Wildlife Department,"4200 Smith School Road
Austin, TX 78744
", 512-389-4800, 800-792-1112,, www.tpwd.state.tx.us,"Art,","Andrew Sansom, Executive Director",,,
Texas Pharmacy Museum,"1300 S. Coulter
Amarillo, TX 79106
", 806-414-9269,, susan.denney@ttuhsc.edu, www.ttuhsc.edu/sop/museum,"History,Science,Specialized,University,","Susan G. Denney, Curator",phone: 806-414-9269,e-mail: susan.denney@ttuhsc.edu,"Thomas Thekkumkara, Director",,,
"Texas Prison Museum, Inc.","491 Hwy 75N
Huntsville, TX 77320
", 936-295-2155,, jimwillett@mac.com, www.txprisonmuseum.org,"Culture,History,Specialized,","James Willett, Director",phone: 936-295-2155,e-mail: jimwillett@mac.com,,
Texas Ranger Hall of Fame & Museum,"100 Texas Ranger Trail
Waco, TX 76706
", 254-750-8631, 254-750-8629, info@texasranger.org, www.texasranger.org,"General,History,Library,Specialized,,Services,Gift ShopOnline Gift Shop,Special Event RentalGroup Tours,","Byron A. Johnson, Supervisor/Director",,"Christina Stopka, Deputy Director/Research Center Manager",,"Lisa Daniel, Visitor Services Manager",,"Paul Torres, Plant Manager",,"Christine Walker, Marketing Coordinator",e-mail: christinew@texasranger.org,"Christy Smith, Research Librarian",,"Kristen Reichert, Capt Robert Mitchell Education Coordinator",,"Shelly Crittendon, Collections Manager",,"Elic Fouts, Staff Assistant: Finances and Knox Coordinator",,,
Texas Seaport Museum; Galveston Historical Foundation,"Pier 21, No. 8
Galveston, TX 77550
", 409-763-1877, 409-763-3037, elissa@galvestonhistory.org, www.galvestonhistory.org,"Specialized,","Kurt Voss, Director",phone: 409-763-1877,"Kathy Gottling, Operations Manager",phone: 409-763-1877,"Wesley Heerssen, Ship Manager",phone: 409-763-1877,"Alex Ybanez, Assistant Ship Manager",phone: (409)763-1877,"Christine Hayes, Education coordinator",phone: 409-763-1877,,
Texas Sports Hall of Fame,"1108 South University Parks Dr.
Waco, TX 76706
", 254-756-1633, 254-756-2384,, www.tshof.org/index2.html,,"Steve Fallon, Executive Director ",e-mail: steve.fallon@tshof.org,"Jay Black, Curator / Website / Educational Tours ",e-mail: jay.black@tshof.org,"Phyllis Trice, Sales & Marketing Coordinator / OVM Coordinator ",e-mail: phyllis.trice@tshof.org ,"Missy Tilghman, Facility Rentals /  Gift Shop ",e-mail: missy@tshof.org,"Paige Davis, Collections Manager ",e-mail: paige.davis@tshof.org,,
Texas State Museum of Asian Cultures and Educational Center,"1809 N. Chaparral St.
Corpus Christi, TX 78401
", 361-881-8827,, info@asianculturesmuseum.org, asianculturesmuseum.org/,"Archaeology,Art,Culture,History,Library,Science,Specialized,,Services,Gift ShopSpecial Event Rental,","Kim Roberson, Educational Director",phone: 361-882-2641,"Chester Topolski, Lead Volunteer",e-mail: texasasianculturesmuseumcc@gmail.com,,
Texas State Railroad Palestine Depot,"US Hwy 84 East
Palestine, TX 75801
", 903-683-2561,, info@texasstaterr.com, www.texasstaterr.com,"Children's,General,History,Historic House,Library,Park,Science,Specialized,,Services,Gift ShopSpecial Event Rental,Cafe/RestaurantGroup Tours,","John Garbutt, Special Projects Administrator",phone: 903-683-3089,e-mail: jgarbutt@texasstaterr.com,"Lori Pennington, Marketing Manager",phone: 903-683-3087,e-mail: LPennington@TexasStateRR.com,,
Texas State Railroad Rusk Depot,"US Hwy 84 West
Rusk, TX 75785
", 903-683-2561,, info@texasstaterr.com, www.texasstaterr.com,"Children's,General,History,Historic House,Science,Specialized,,Services,Gift ShopSpecial Event Rental,Group Tours,","John Garbutt, Special Projects Administrator",e-mail: jgarbutt@texasstaterr.com,"Lori Pennington, Marketing Manager",e-mail: LPennington@TexasStateRR.com,,
Texas Tennis Museum and Hall of Fame,"1108 S. University Parks Blvd
Waco, TX 76706
",,, txtennismuseum@earthlink.net, www.ttmhof.org,"History,Specialized,","Tina Brumm, Collections Manager",phone: 254-756-2307,e-mail: Tina_Brumm@baylor.edu,,
Texas Transportation Museum,"11731 Wetmore Road
San Antonio, TX 78247
", 210-490-3554,, ttm1964@sbcglobal.net, www.txtransportationmuseum.org,"Nature Centers,","Jared Davis, Curator",phone: 210-490-3554,,
Texas Veterinary Medical Museum,"6633 Hwy 290 East Suite 2
Austin, TX 78723
", 512-452-4224, 512-452-6633, info@tvma.org, www.tvma.org,,"Chris Copeland, Executive Director",e-mail: ccopeland@tvma.org,"Abel Almendarez, Director of Communications and Public Relations",e-mail: aalmendarez@tvma.org,,
Texas Wendish Heritage Museum,"1011 CR 212
Giddings, TX 78942
", 409-366-2441, 409-366-2805, wendish@bluebon.net, texaswendish.org/Museum.aspx,"Culture,History,Library,Specialized,,Services,Gift ShopGroup Tours,","Jan Slack, Museum Director",phone: 979-366-2441,e-mail: wendish@bluebon.net,"Eunice Dunk, Program Director",e-mail: wendish@bluebon.net,,
The Texas Zoo,"110  Memorial Drive
Victoria, TX 77901
", 361-573-7681, 361-576-1094, contactus@texaszoo.org, www.texaszoo.org,"Zoo,",,
Texoma Children's Museum,"401 W. Main Street
Denison, TX 75020
", 903-463-5678,, info@texomachildrensmuseum.org, www.texomachildrensmuseum.org,"Children's,,Services,Gift Shop,","Sasha  Best, Executive Director",phone: 903-463-5678,e-mail: sasha@texomachildrensmuseum.org,"Teresa  Scott, Development Director",phone: 903-463-5678,e-mail: info@texomachildrensmuseum.org,,
The Dr Pepper Museum and Free Enterprise Institute,"300 South 5th Street
Waco, TX 76701
", 254-757-1024, 254-757-2221, dp-info@drpeppermuseum.com, drpeppermuseum.com,"Culture,General,History,Historic House,Library,Science,Specialized,","Jack McKinney, Executive Director",phone: 254-757-1024,e-mail: dp-info@drpeppermuseum.com,"Joy Summar-Smith, Associate Director",e-mail: dp-info@drpeppermuseum.com,"Jennie Sheppard, Director of Visitor Services",e-mail: dp-info@drpeppermuseum.com,,
The Firearms Museum of Texas,"Corner N Center & N Broadway- Courthouse Square
Brownwood, TX 76801
", 325-646-3717, 325-646-4623,, www.firearmsmuseumoftexas.org,"History,Specialized,",,
The Health Museum,"1515 Hermann Dr.
Houston, TX 77004
", 713-521-1515, 713-526-1434, info@thehealthmuseum.org, www.thehealthmuseum.org/,"Science,,Services,Gift ShopSpecial Event Rental,Group Tours,",,
The Houston Zoo,"1513 North MacGregor
Houston, TX 77030
", 713-533-6500, 713-533-6755, info@houstonzoo.org, www.houstonzoo.org,"Zoo,","Kathy Gaughan, Curator of Education",,"Rick Barongi, Zoo Director",,"Hannah Bailey, Curator of Birds",,"Tinker Boyd, Curator of Children's Zoo",,"George Brandy, Curator of Aquarium",,"Daryl Hoffman, Curator of Large Mammals",,"Hollie Colahan, Curator of Primates and Carnivores",,"Elizabeth Neipert, Registrar",,"Sharon Joseph, VP Animal Programs",,,
The MBA - Museum of Biblical Art,"7500 Park Lane
Dallas, TX 75225
", 214-368-4622,, info@biblicalarts.org, www.biblicalarts.org/,"Archaeology,Art,Culture,History,,Services,Gift ShopSpecial Event Rental,Cafe/RestaurantGroup Tours,","Scott Peck, Co-Director and Curator",e-mail: scottpeck@biblicalarts.org,"R.J. Machmcek, Co-Director",e-mail: info@biblicalarts.org,"Val Robinson, Assistant Director",e-mail: info@biblicalarts.org,,
The Roy Orbison Museum,"205  E. Hendricks Blvd.
Wink, TX 79789
", 432-527-3622,,,,"History,Specialized,",,
The Williamson Museum,"716 S. Austin Avenue
Georgetown, TX 78626
", 512-943-1670,, info@williamsonmuseum.org, www.williamsonmuseum.org,"Culture,General,History,Historic House,Historical Society,Library,,Services,Gift ShopSpecial Event Rental,Group Tours,","Mickie Ross, Executive Director",,"Ann Evans, Curator",e-mail: aevans@williamsonmuseum.org,"Danelle Houck, Educator",,"Emily Russell, Visitor Services Coordinator",,,
Third Coast Squadron of the CAF,"1309 S. Airport Road
Alice, TX 78332
", 361-726-6155, 361-698-3446, preflys@aol.com, www.thirdcoastcaf.org,"History,Specialized,","Col. Paul Emmons,  Museum Curator",phone: 361-726-6155,e-mail: preflys@aol.com,,
Toilet Seat Art Museum,"239 Abiso Avenue
San Antonio, TX 78209
", 210-824-7791,,,,"Art,Children's,Culture,History,",,
The Trammell & Margaret Crow Collection of Asian Art,"2010 Flora St.
Dallas, TX 75201
", 214-979-6430, 214-979-6439, ahofland@crowcollection.org, www.crowcollection.org,"Art,","Amy Lewis Hofland, Director",phone: 214-979-6431,e-mail: ahofland@crowcollection.org,,
TSA MO GA Memorial Museum,"1109 Avenue H.
Plains, TX 79355
", 806-456-8855,,,,"History,",,
Twentieth Century Technology Museum,"231 S. Fulton Street
Wharton, TX 77488
",,, info@20thcenturytech.com, www.20thCenturyTech.org,"Children's,History,Historic House,Library,Science,Specialized,","Art Schulze, Chairman",phone: 979-282-8810,e-mail: art@20thcenturytech.com,"Sharon Schulze, Executive Director",e-mail: sharon@20thcenturytech.com,"Mark Schulze, Exhibit Coordinator",e-mail: mark@20thcenturytech.com,,
Tx. DPS Historical Museum & Research Center,"Austin, TX 78714
", 512-459-4046,, txdpsmus@flash.net,,"History,",Henry Palma,,,
Tyler Museum of Art,"1300 S. Mahon
Tyler, TX 75701
", 903-595-1001, 903-595-1055, info@tylermuseum.org, www.tylermuseum.org,"Art,","Kimberley Bush Tomio, Director",,"Deborah Kuster, Curator of Education",,"Robert Owen, Membership/PR",,,
Umlauf Sculpture Garden & Museum,"605 Robert E. Lee
Austin, TX 78704
", 512-445-5582, 512-445-5583, curator@umlaufsculpture.org, www.umlaufsculpture.org,"Art,","Nelie Plourde, Director/Curator",phone: 512-445-5582,,
University Art Collections & Exhibitions,"College Station, TX 77844
", 409-845-8501, 409-862-3381, uart@stark.tamu.edu, stark.tamu.edu,"Art,",Catherine Hastedt,,"Kara Koloini, Marketing Assistant",,,
University Art Gallery,"Denton, TX 76203
", 940-565-4005, 940-565-4717, Block@unt.edu,,"Art,",Diana R. Block,,,
University of North Texas Art Gallery,"1155 Union Circle #305100
Denton, TX 76203
", 940-565-4005, 940-565-4717, cvad@unt.edu, www.art.unt.edu,"Art,University,","Diana R. Block, Director/Curator",phone: 940-565-4005,"Sara-Jayne Parsons, Senior Secretary",phone: 940-565-4005,,
US Army Medical Department Museum,"2310 Stanley Road, Bldg. 1046
Fort Sam Houston, TX 78234
", 210-221-6358, 210-221-6781, ameddmus@aol.com, www.cs.amedd.army.mil/details.aspx?dt=14,"Specialized,","Thomas O. McMasters, Director",phone: 210-221-6358,"Scotty Knight, Curator",phone: 210-221-6358,"Johanna Koehn, Registrar",phone: 210-221-6277,"Al Dominguez, Museum Technician",phone: 210-221-6358,"Sheryl Muskett, Shop Manager",phone: 210-225-0015,,
USAF Airman Heritage Museum,"5206 George Ave
LackLand Air Force Base, TX 78236
", 210-671-3055,, foundation@myairmanmuseum.org, www.myairmanmuseum.org/,"Culture,History,Military,Specialized,,Services,Group Tours,","Fernando Cortez, Museum Curator",e-mail: fernando.cortez@us.af.mil,,
USAF Security Forces Museum,"1300 Femoyer Street
Lackland Air Force Base, TX 78236
", 210-671-2615, 210-671-1087, dadina@swbell.net, www.securityforcesmuseum.org,"General,History,Military,Specialized,","Bernie Denisio, Col.(Ret.), President",e-mail: cbdenisio@sbcglobal.net,"Mel Grover, Col.(Ret.), Vice President",e-mail: amgrover@satx.rr.com,"Terri Bedore, Curator",e-mail: dadina@swbell.net,,
USS Lexington Museum of  the Bay,"2914 N. Shoreline Blvd.
Corpus Christi, TX 78402
", 361-888-4873, 512-882-8361,, www.usslexington.com,"Specialized,",,
Vandenberg Space and Missile Heritage Center,"Lobo Rd
Vandenberg AFB, TX 93437
", 805-605-8300,,, www.vandenberg.af.mil/library/factsheets/factsheet.asp?id=4627,"History,Military,Specialized,","Donald ""Jay"" Prichard, Museum Director",phone: 805-605-8300,e-mail: donald.prichard@us.af.mil,"Joe Page, Director of Missile Heritage Foundation Research",phone: 575-635-8387,,
Varner-Hogg Plantation State Historical,"1702 N 13 Street
West Columbia, TX 77486
", 979-345-4656, 979-345-4412, varner-hogg@thc.state.tx.us, www.visitvarnerhoggplantation.com/index.aspx?page=19,"Archaeology,Cemetery,Culture,History,Historic House,","Jonathan Plant, Curator",phone: 979-345-4656,"Kandy Taylor-Hille, Site Manager",,"Angela Pfeiffer, Program Coordinator",,"Gregg Post, Lead Ranger",,"Melissa Niebuhr, Office & Gift Shop Manager",,,
Victoria Regional Museum Association,"502 North Liberty Street
Victoria, TX 77901
", 512-575-8227, 361-575-8228, vrma@victoriaregionalmuseum.com, www.victoriaregionalmuseum.com,"Art,History,Historical Society,","Melissa McCann, Administrative Assistant",phone: 361-575-8227,,
Villa Finale Visitor Center,"122 Madison Street
San Antonio, TX 78204
", 210-223-9800,, villafinale@nthp.org, villafinale.org/,"Culture,General,History,Historic House,,Services,Gift ShopGroup Tours,","Michael Anderson, Acting Director",phone: 210-223-9800 x34325,e-mail: michael_anderson@nthp.org,"Meg Nowack, Manager of Curatorial Resources",phone: 210-223-9800 x34322,e-mail: meg_nowack@nthp.org,"Syeira Budd, Coordinator, Visitor Services & Museum Shop",phone: 210-223-9800 x34328,e-mail: syeira_budd@nthp.org,,
Vintage Aviation Historical Foundation,"6658 Gin Road
Marion, TX 78124
", 830-914-2011,,, www.vintageaviation.org,"History,",,
"Virtual Steam Car Museum, Inc.","4431 Allencrest Lane
Dallas, TX 75244
",,,, virtualsteamcarmuseum.org,"History,Specialized,","Donald R. Hoke, Principal",e-mail: VSCM@virtualsteamcarmuseum.org,,
Visions of the West Collection  (The Torch Collection of Torch Energy Advisors Incorporated),"1331 Lamar Ave, Suite 1450
Houston, TX 77010
", 713-650-1246, 713-655-1866,, www.teai.com,"Art,History,","Laura Lee, Curator",phone: 713-753-1284,e-mail: laura.lee@teai.com,,
The W. H. Stark House,"610 W. Main Street
Orange, TX 77630
", 409-883-0871, 409-886-4697, info@whstarkhouse.org, www.whstarkhouse.org,"History,Historic House,","Patsy L. Herrington, Managing Director",phone: 409-883-0871,"Lois E. Hamilton, Administrative Assistant and Tour Coordinator ",phone: 409-883-0871,,
"Walker Museum of Indian Culture, Inc.","Canyon, TX 79016
",,,,,"Culture,",,
Waller County Historical Museum,"906 Cooper Street
Brookshire, TX 77423
", 281-934-2826,, judy.v.robinson@gmail.com, www.wlrctyhistsoc.org/,"History,",,
Washington-on-the-Brazos State Historical Park Association,"Washington, TX 77880
",,,,,"Park,",,
WASP WWII Museum,"210 Avenger Field Rd.
Sweetwater, TX 79556
", 325-235-0099,,, waspmuseum.org,"Culture,General,History,Military,Specialized,","Marianne Wood, Executive Director",phone: 325-235-0099,"Sharron Davis, Museum Director",e-mail: waspmuseum@yahoo.com,,
Webb County Heritage Foundation,"Laredo, TX 78042
", 956-727-0977,, heritage@,heritage.orgweb: www.webbheritage.org,"History,",,
Welder Wildlife Foundation,"12858 Highway 77 North
Sinton, TX 78387
", 361-364-2643, 361-364-2650, welderwf@aol.com, www.welderwildlife.org,"History,Specialized,","Dr. Selma Glasscock, Assistant Director",,"Dr. D. Lynn Drawe, Director",,"Dr. Terry Blankenship, Assistant Director",,,
Weslaco Museum,"500 S Texas Blvd
Weslaco, TX 78596
", 956-968-9142,, director@weslacomuseum.org, www.weslacomuseum.org,"Art,Culture,History,","Sandra De La Fuente, Director",e-mail: director@weslacomuseum.org,"Audrey Hazlett, Museum Coordinator",,,
West Bay Common School Children's Museum,"210 North Kansas Ave
League City, TX 77573
", 281-554-2994,,, www.oneroomschoolhouse.org,"Children's,Culture,History,Historic House,Historical Society,Park,Science,Specialized,,Services,Gift ShopSpecial Event Rental,Cafe/RestaurantGroup Tours,","Catharin Lewis, Curator:",phone: 281-554-2994,e-mail: catharin@orbitworld.net,"Jennifer Wycoff, Director",,,
West of the Pecos Museum,"Highway 285 & First Street
Pecos, TX 79772
", 915-445-5076, 915-445-3149, Staff@WestOfThePecosMuseum.com, www.westofthepecosmuseum.com,"History,","Debra Thomas, Director",phone: 915-445-5076,"Dorinda Millan, Curator",,"Freda Blahosky, Gift Shop",phone: 915-445-5076,"Neal Thomas, Maintenance, carpenter.",phone: 915-445-5076,,
Wharton County Historical Museum,"3615 N. Richmond Rd.
Wharton, TX 77488
", 409-532-2600, 409-532-2600,, freepages.history.rootsweb.ancestry.com/~barrettbranches/wharton/1949citydirectory.html,"General,History,Historic House,Library,",Sylvia B Ellis,,"Marvin Albright, Director",phone: 979-532-2600,"Delia Castillo, Secretary",phone: 979-532-2600,"Brett Glenn, Research Department/Researcher",phone: 979-532-2600,e-mail: notontheweb@hotmail.com,"Shirley Arriaga, Weekend Greeter",phone: 979-532-2600,"Natalie Arriaga, Weekend Greeter",phone: 979-532-2600,,
White Deer Land Museum,"112-116 S. Cuyler
Pampa, TX 79065
", 806-662-9921, 806-669-8041, wdlmuseum@graycch.com, w.museuminpampa.org,"General,History,Historic House,Historical Society,","Anne Davidson, Director",phone: 806-669-8041,e-mail: wdlmuseum@graycch.com,"Robbie Stone, Assistant to Director",,"Deborah Chambers, Tour guide and care of collections.",,"Jim Davidson, Building maintenance.",,,
White Settlement Historical Museum,"8320 Hanon Dr.
White Settlement, TX 76108
", 817-246-2355,, norris@norrisc.com, www.wsmuseum.com,"History,Library,","Jimmie Weaver, Museum Director",phone: 817-246-3106,e-mail: thewevs@cowtown.net,"Norris Chambers, Treasurer & Curator",phone: 817-246-2355,e-mail: norris@swbell.net,,
Whitehead Memorial Museum,"1308 South Main Street
Del Rio, TX 78840
", 830-774-7568, 830-768-0223, whitehead@whiteheadmuseum.org, www.whitehead-museum.com,"History,",Lee Lincoln,,,
Whitewright Historical and Nature Park,"Whitewright, TX 75491
", 903-364-9974, 903-364-9035, phubbard@netexas.net,,"Park,",Patricia C. Hubbard,,,
Whitney Area Museum,"303 N Brazos St
Whitney, TX 76692
", 254-694-6595,,,,"History,",,
Wichita Falls Museum of Art at MIdwestern State University,"2 Eureka Circle
Wichita Falls, TX 76308
", 940-397-8900,, wfma@mwsu.edu, wfmamsu.org,"Art,General,History,University,,Services,Gift ShopSpecial Event Rental,","Dr Francine Carraro, Museum Director",phone: 940-397-8948,e-mail: francine.carraro@mwsu.edu,"Connie Nolen, Administrative Assistant",phone: 940-397-8900,,
Wild Basin Wilderness Preserve,"805 N. Capital of Texas Highway
Austin, TX 78746
", 512-327-7522, 512-328-5632, hike@wildbasin.org, www.wildbasin.org,"History,Natural History,Nature Centers,Science,Specialized,","Carol Knepp, Executive /Education Director",phone: 512-327-7622,"Bill Bowman, Development Coordinator",phone: 512-327-7622,"Georgeanne Foster, Facilities Manager",phone: 512-327-7622,,
Wildcat Bluff Nature Center,"2301 N. Soney Road
Amarillo, TX 79159
", 806-352-6007, 806-352-2274, info@wildcatbluff.org, www.wildcatbluff.org,"Nature Centers,","Mike Boley, Executive Director",,,
Wilderness Park Museum,"4301 Transmountain Road
El Paso, TX 79924
", 915-755-4332, 915-759-6824,,,"History,Natural History,",Marc Thompson,,,
"Wildwood Heritage Museum and Library, Inc.","Village Mills, TX 77663
",,,,,"Library,",,
William & Elizabeth Hayden Museum of American Art - Closed,"930 Cardinal Lane
Paris, TX 75460
",,,,,,,
Winedale Historical Complex,"3738 FM 2714
Round Top, TX 78954
", 979-278-3530,, winedale@austin.utexas.edu, www.cah.utexas.edu/museums/winedale.php,"Art,Culture,History,Historic House,University,","Barbara B. White, Administrative Manager",phone: 979-278-3530,e-mail: barbara.white@austin.utexas.edu,,
Wise County Heritage Museum,"1602 S. Trinity
Decatur, TX 76234
", 940-627-5586,, wisemuseum@embarqmail.com, www.wisehistory.com,"History,Historical Society,,Services,Gift Shop,",Rosalie Gregg,,,
The Witte Museum,"3801 Broadway
San Antonio, TX 78209
", 210-357-1900, 210-357-1882, marisemcdermott@wittemuseum.org, www.wittemuseum.org,"Art,General,History,Natural History,Science,","Marise Mcdermott, President",e-mail: marisemcdermott@wittemuseum.org,,
The Wittliff Collections,"Visitor (LBJ) Parking Garage
704 Gaillardia Street
San Marcos, TX 78666
